DATE,LAT,LON,PAR
2017-01-20T02:30:00.000Z,6.02,99.98,-32767
2017-01-26T02:04:59.000Z,6.02,99.98,-32767
2017-01-29T02:24:59.000Z,6.02,99.98,-32767
2017-02-04T02:10:00.000Z,6.02,99.98,-32767
2017-02-11T02:14:59.000Z,6.02,99.98,-32767
2017-02-14T02:25:00.000Z,6.02,99.98,-32767
2017-02-20T02:10:00.000Z,6.02,99.98,-32767
2017-02-21T02:29:59.000Z,6.02,99.98,-32767
2017-02-27T02:14:59.000Z,6.02,99.98,-32767
2017-02-28T02:34:59.000Z,6.02,99.98,-32767
2017-03-02T02:25:00.000Z,6.02,99.98,-32767
2017-03-08T02:10:00.000Z,6.02,99.98,-32767
2017-03-09T02:54:59.000Z,6.02,99.98,-32767
2017-03-15T02:19:59.000Z,6.02,99.98,-32767
2017-03-16T03:00:00.000Z,6.02,99.98,-32767
2017-03-18T02:49:59.000Z,6.02,99.98,-32767
2017-03-24T02:15:00.000Z,6.02,99.98,-32767
2017-03-25T02:59:59.000Z,6.02,99.98,-32767
2017-03-31T02:19:59.000Z,6.02,99.98,-32767
2017-04-01T03:00:00.000Z,6.02,99.98,-32767
2017-04-03T02:49:59.000Z,6.02,99.98,-32767
2017-04-09T02:15:00.000Z,6.02,99.98,-32767
2017-04-10T02:54:59.000Z,6.02,99.98,-32767
2017-04-12T02:45:00.000Z,6.02,99.98,-32767
2017-04-16T02:19:59.000Z,6.02,99.98,-32767
2017-04-17T03:00:00.000Z,6.02,99.98,-32767
2017-04-19T02:49:59.000Z,6.02,99.98,-32767
2017-04-25T02:15:00.000Z,6.02,99.98,-32767
2017-04-26T02:54:59.000Z,6.02,99.98,-32767
2017-05-02T02:19:59.000Z,6.02,99.98,-32767
2017-05-03T03:00:00.000Z,6.02,99.98,-32767
2017-05-05T02:49:59.000Z,6.02,99.98,-32767
2017-05-11T02:15:00.000Z,6.02,99.98,-32767
2017-05-12T02:54:59.000Z,6.02,99.98,-32767
2017-05-18T02:19:59.000Z,6.02,99.98,-32767
2017-05-19T02:59:59.000Z,6.02,99.98,-32767
2017-05-21T02:49:59.000Z,6.02,99.98,-32767
2017-05-27T02:15:00.000Z,6.02,99.98,-32767
2017-06-03T02:19:59.000Z,6.02,99.98,-32767
2017-06-12T02:15:00.000Z,6.02,99.98,-32767
2017-06-13T02:54:59.000Z,6.02,99.98,-32767
2017-06-19T02:19:59.000Z,6.02,99.98,-32767
2017-06-28T02:15:00.000Z,6.02,99.98,-32767
2017-06-29T02:54:59.000Z,6.02,99.98,-32767
2017-07-05T02:19:59.000Z,6.02,99.98,-32767
2017-07-06T02:59:59.000Z,6.02,99.98,-32767
2017-07-14T02:15:00.000Z,6.02,99.98,-32767
2017-07-15T02:54:59.000Z,6.02,99.98,-32767
2017-07-21T02:19:59.000Z,6.02,99.98,-32767
2017-07-30T02:15:00.000Z,6.02,99.98,-32767
2017-07-31T02:54:59.000Z,6.02,99.98,-32767
2017-08-06T02:19:59.000Z,6.02,99.98,-32767
2017-08-07T03:00:00.000Z,6.02,99.98,-32767
2017-08-09T02:49:59.000Z,6.02,99.98,-32767
2017-08-15T02:15:00.000Z,6.02,99.98,-32767
