date,DOY,WS,WD,FCO2,RN,RH,H2O,H,LE,ZL,SH,SLE,P_RAIN,TA,ET,PPFD,USTAR,RG,TS,H_QC,LE_QC,FCO2_QC,LAT,LON,CHL,SST,POC,PIC,PAR
2/1/2017,45.98945461,0.81355778,166.7504021,-0.035926549,20.82483024,85.31143132,31.60007133,1.213672096,9.55810146,-1.236845635,-0.004903591,0.025466832,NA,27.51538805,0.012840576,NA,0.044671533,193.8095902,NA,1.05988024,1.07558579,1.178463855,6.02,99.98,1.776666667,29.94727273,260.4,0.0004052,49.21542857
3/1/2017,75.48945255,0.461067554,201.4651527,-0.064555553,14.55798404,95.9379222,35.61255738,1.518568503,6.771840272,-1.805518858,-0.009538006,-0.109557769,NA,27.41127941,0.008571013,NA,0.040600985,196.6914862,NA,1.065718157,1.122855182,1.23161512,6.02,99.98,1.188571429,31.40916667,183.8,3.77E-05,51.23790909
4/1/2017,105.9894571,0.505566796,201.8577213,-0.038885102,21.10082092,88.60719187,33.42948762,1.645389794,6.968570865,-2.029542351,-0.009025052,0.061450567,NA,27.67455698,0.008685289,NA,0.039970345,208.1461671,NA,1.038247566,1.126056338,1.228795438,6.02,99.98,0.49,31.17,105.9,1.40E-05,49.7271
5/1/2017,136.4894573,0.342097776,201.3340533,-0.024263811,32.09995171,92.19607654,33.5365044,1.582471342,4.890753153,-1.930952009,0.000882571,-0.007176123,NA,28.60063101,0.005993258,NA,0.04125153,179.5482386,36.95719075,1.057239057,1.155586018,1.254470426,6.02,99.98,0.6,31.77666667,140.6666667,4.40E-05,46.86718182
6/1/2017,166.9894356,0.34970056,197.9289118,0.043055232,26.32911356,92.63365298,27.75905655,1.62799818,5.46926601,-2.375803611,0.000569995,-0.305468916,NA,29.09584801,0.007130713,NA,0.037447813,194.1983919,31.19965824,1.040697674,1.10880829,1.286343612,6.02,99.98,0.7375,31.3725,192.2,1.50E-05,39.21258333
7/1/2017,197.4894289,0.319034953,196.8012244,0.009766231,26.05036986,98.33588718,35.86046389,1.440131585,4.488271105,-2.026253411,0.028307205,-0.317310647,NA,28.76815066,0.005865915,NA,0.039182747,185.395003,30.03825089,1.063082437,1.124098124,1.275216138,6.02,99.98,0.585,31.4325,137.5,1.40E-05,43.42556522
8/1/2017,228.4894516,0.364512146,208.4343573,0.008699026,23.72904122,87.54802092,32.64201967,1.610380619,5.240932009,-2.141720884,0.00475618,-0.0004344,NA,27.40983939,0.006483102,NA,0.039184545,189.4181372,29.80303295,1.051735875,1.138558432,1.255197133,6.02,99.98,0.31,31.2475,87.4,9.80E-05,40.74930435
9/1/2017,258.989456,0.398001135,208.4062929,-0.003439258,17.6385826,86.30370225,30.95686046,1.591397461,5.617892048,-1.91266051,-0.011295807,0.0653831,NA,26.91383032,0.006130238,NA,0.041798866,167.4512258,29.68361526,1.070432357,1.159737418,1.268765133,6.02,99.98,0.41,31.046,101,6.95E-05,46.82304762
10/1/2017,289.4894431,0.469742954,209.0113771,-0.034149723,18.03883663,87.15925926,32.5282773,1.591088365,6.667102217,-2.073202098,-0.009396523,-0.000561488,NA,27.58393537,0.008443272,NA,0.03735813,191.3184844,30.22692569,1.047083626,1.106321839,1.238905325,6.02,99.98,0.563333333,30.91428571,135.6666667,0.000171333,45.76314286
11/1/2017,319.9894557,0.624352769,181.6255052,-0.035653354,19.39005564,92.94343326,33.50363361,1.71980426,7.673680515,-1.984451406,-0.003596994,0.048890435,NA,26.98734058,0.008798342,NA,0.040325505,148.0694193,29.34879304,1.039832285,1.134670487,1.248351648,6.02,99.98,0.936666667,30.67571429,170.3333333,0.000140667,41.09766667
12/1/2017,350.4894542,0.911689207,148.3675136,-0.054401654,22.31269729,86.8883245,31.57629158,1.379349022,10.36437763,-1.391494509,0.003913846,0.0672954,NA,27.22940866,0.014506611,NA,0.044352369,171.9160077,29.03592538,1.039375424,1.069637883,1.176348548,6.02,99.98,1.603333333,29.87272727,252.5777778,0.000235331,44.3068
1/1/2018,16.48945524,0.544008817,180.2104846,0.013726052,24.18798778,91.71692155,31.73232903,1.416752755,6.595858203,-1.888979217,-0.002349593,0.056487919,NA,26.28824532,0.008440919,NA,0.037264931,145.6510407,29.08308476,1.043978349,1.108882521,1.263848397,6.02,99.98,1.4,29.36666667,372.2666667,1.40E-05,42.67488
2/1/2018,45.98945424,0.708487297,174.294321,-0.117762128,8.122849999,77.72245219,28.82926679,1.390809659,9.408758474,-1.271523383,0.005334071,0.050326123,NA,27.49964289,0.012865444,NA,0.043347709,207.0172979,29.54085213,1.068215892,1.075301205,1.158935361,6.02,99.98,2.239230769,29.79578947,356.4615385,5.32E-05,54.91
3/1/2018,75.48945134,0.589205984,186.6056642,-0.046875071,12.36094157,82.44511115,31.54772591,1.569121671,7.953978525,-1.622778428,-8.04E-05,0.050956382,NA,27.96419608,0.010660038,NA,0.0431793,211.9071447,30.40722828,1.049213944,1.099361249,1.224561404,6.02,99.98,1.075714286,30.99857143,214.7714286,2.52E-05,55.7213913
4/1/2018,105.9894501,0.454415666,190.5610472,0.00690423,21.69376445,84.87001446,29.43386233,1.581638407,6.26764763,-1.70175114,-0.005833751,0.062584665,0.000173037,28.03355982,0.008198943,NA,0.042023153,196.1765122,30.48993561,1.05064194,1.096028881,1.235598227,6.02,99.98,NA,31.15333333,NA,NA,50.91854545
5/1/2018,136.4894538,0.382568943,193.3601606,0.023178922,31.14376137,87.40758406,22.16383298,1.688812066,5.517746215,-1.980656303,0.007154129,0.038468669,0.000229061,27.85747613,0.006854467,NA,0.040754914,184.2587448,30.68531697,1.042465753,1.138987883,1.271865889,6.02,99.98,0.515,31.51875,122.8,2.00E-05,51.23408333
6/1/2018,166.9894545,0.346699913,200.3739509,0.039849017,22.03790223,82.67836546,19.22102299,1.498422196,5.378612277,-2.008547753,2.44E-05,0.267029813,0.000138732,27.98720294,0.006539682,NA,0.039986852,181.0672368,30.3640772,1.057746479,1.136819484,1.236377025,6.02,99.98,0.563333333,31.85333333,157.2666667,0.000833333,41.4755
7/1/2018,197.4894574,0.339083292,199.7722283,-0.023603921,27.06848774,81.02455798,19.10032121,1.445282996,4.687419196,-1.766743008,0.00191628,0.04159066,0.000107008,28.09075442,0.005784438,NA,0.043420051,178.1024262,29.72300753,1.075471698,1.119831815,1.273431994,6.02,99.98,0.58,30.315,174.5,4.00E-05,43.4164
