DOY,WS,WD,FCO2,RN,RH,H2O,H,LE,ZL,SH,SLE,P_RAIN,TA,ET,PPFD,USTAR,RG,TS,H_QC,LE_QC,FCO2_QC,co2_mole_fraction,air_pressure,FCO2_mmol,PP_air_30,EMA,PCO2_sw,LAT,LON,CHL,SST,POC,PIC,PAR,temp_diff,PCO2_sw_T
187.1560882,0.676709853,212.2600412,0.003853968,65.47144385,77.27687366,31.23832466,1.396059052,8.143600149,-1.515449662,-0.129817169,-0.05922811,NA,28.86018456,0.010893857,NA,0.043290657,305.13747,30.5598836,1.060893495,1.095094513,1.201671085,389.360327,100705.5061,0.33298287,387.0915331,30.72223431,388.2307458,6.02,99.98,0.708151709,30.89911535,155.8646368,0.000235377,46.16794439,-0.063907968,387.173723
184.4768611,0.552108879,195.6182717,0.004819994,33.59410221,88.72047299,32.58034603,1.493113641,7.217853922,-1.774678634,-0.052458202,-0.093403422,NA,27.95580777,0.009220873,NA,0.041731807,221.7818309,29.90517164,1.05755238,1.116866154,1.228600624,394.0007656,100614.0792,0.416447505,391.4576451,30.15164553,392.3595,6.02,99.98,0.831089286,30.92702778,161.577037,0.000111758,44.85122746,0.015942363,392.6318707
182.7013513,0.449640732,192.195195,0.001199076,22.13474182,86.04053872,24.46851838,1.527339739,6.331131445,-1.870619101,-0.001386975,0.032672859,0.384553427,27.62907337,0.00806365,NA,0.040524177,178.0670222,29.86276605,1.051560315,1.115484258,1.246605047,399.3117892,100552.7709,0.103600178,396.4780182,29.91557707,394.9265305,6.02,99.98,0.950252581,30.72407869,285.5433,0.000116506,47.07025092,-0.002602892,394.899053
182.6941258,0.517433322,191.0049327,-0.007397481,19.39954842,85.93246787,29.67697985,1.411394125,6.711400794,-1.611374273,-0.001403661,0.081396847,0.000133096,29.24705137,0.008830101,374.1381536,0.041857386,181.4253807,29.14720468,1.061217938,1.111449867,1.229251891,399.4466833,100546.2936,-0.639142327,396.5970041,29.19836513,389.2768487,6.02,99.98,1.271800899,30.67952137,334.9381398,9.81E-05,46.82158636,-0.005096377,389.2015072
167.488791,0.494794164,192.9015511,-0.008208528,22.30082301,80.65994269,32.01635771,1.328774625,6.25326577,-1.798426179,-0.000688081,0.073321513,0.00014278,28.00296049,0.008212687,340.9550467,0.040417854,169.7793292,28.92515471,1.060360769,1.103870823,1.232956376,400.6506874,100461.1797,-0.709216782,397.4849497,28.92638301,389.3325911,6.02,99.98,2.6049995,30.70877633,309.5540929,0.000201082,47.52986511,0.029609343,389.7355422
