normalized_frequency,f_nat*cospec(w_u)/cov(w_u)
0.0142961,-0.930838
-9999,-9999
-9999,-9999
-9999,-9999
0.0285922,1.14356
-9999,-9999
0.0428882,0.123805
-9999,-9999
0.0571843,0.137182
0.0714804,0.657485
0.0857765,0.179908
0.107221,0.168675
0.128665,0.33049
0.150109,0.124697
0.178701,-0.218608
0.214441,-0.203202
0.264477,0.268671
0.321662,0.0481806
0.378846,-0.0232125
0.450326,0.159151
0.543251,-0.0895331
0.657619,0.312884
0.786284,0.157541
0.936393,0.142213
1.12939,0.042346
1.35813,0.640052
1.62975,0.177925
1.95856,0.261686
2.34456,0.476225
2.80918,0.158167
3.37387,0.303956
4.04579,0.25733
4.85352,0.236022
5.82565,0.339454
6.99078,0.263684
8.3918,0.0388858
10.0644,-0.00181503
12.073,0.0512848
14.4891,0.0365372
17.3769,0.0704527
20.8437,-0.0283798
25.011,0.0175434
30.0075,-0.010782
36.0047,-0.0120495
43.1956,0.00747135
51.8233,-0.0254543
62.1736,-0.012103
74.5898,-0.0201285
89.4934,-0.0137429
107.371,-0.0113482
