normalized_frequency,f_nat*cospec(w_u)/cov(w_u)
0.0206467,0.014801
-9999,-9999
-9999,-9999
-9999,-9999
0.0412934,0.0347831
-9999,-9999
0.0619401,0.00373712
-9999,-9999
0.0825868,0.0425321
0.103233,0.0819656
0.12388,-0.0133088
0.15485,0.376879
0.18582,0.218771
0.21679,0.0961315
0.258084,-0.328627
0.3097,0.138768
0.381964,-0.0780818
0.464551,0.217713
0.547138,0.382883
0.650371,0.0491948
0.784575,0.297429
0.949748,0.108998
1.13557,-0.187093
1.35236,0.0620345
1.63109,0.0938744
1.96144,0.429071
2.35372,0.184227
2.8286,0.0606951
3.38606,0.151484
4.05708,0.330398
4.87262,0.0828717
5.84302,0.156649
7.00955,-0.126217
8.41353,0.0911526
10.0962,0.185011
12.1196,0.0501084
14.5353,0.0608122
17.4361,0.0431389
20.9254,0.0554587
25.0961,0.0127116
30.1029,0.00953656
36.1214,0.0156095
43.3374,0.00758945
51.9987,-0.00910494
62.384,-0.00138214
74.8443,-0.00455472
89.7925,-0.00492105
107.724,-0.00400937
129.248,-0.00381402
155.067,-0.00525883
