normalized_frequency,f_nat*cospec(w_u)/cov(w_u)
0.0407307,-0.0373486
-9999,-9999
-9999,-9999
-9999,-9999
0.0814614,-0.167033
-9999,-9999
0.122192,0.0864416
-9999,-9999
0.162923,0.125811
0.203654,-0.117432
0.244384,0.0256584
0.30548,0.0561623
0.366576,0.263583
0.427672,0.0929016
0.509134,-0.150259
0.610961,0.121544
0.753518,0.315206
0.916441,-0.0370937
1.07936,0.336045
1.28302,0.109904
1.54777,0.568822
1.87361,0.110837
2.24019,0.510414
2.66786,0.955474
3.21773,0.642166
3.86942,0.67963
4.6433,0.498686
5.58011,0.527679
6.67984,0.693687
8.00358,0.175914
9.61245,0.283379
11.5268,0.549847
13.8281,-0.296668
16.5978,-0.113926
19.9173,0.0190135
23.9089,0.0221309
28.6744,0.0645859
34.3971,0.0182544
41.2806,0.0320313
49.5082,0.00679175
59.3854,-0.00685151
71.2584,-0.0488784
85.4937,-0.0608491
102.58,-0.0653492
123.068,-0.0283223
147.649,-0.057985
177.138,-0.0428684
212.512,-0.0433139
254.974,-0.0480139
305.908,-0.0418216
