index1,lat1,lon1,time1,swh1,wind_speed_alt1
1405,3.022663,282.487351,30/04/2016 23:14,NA,NA
4300,2.556574,280.526166,02/05/2016 11:19,1.777,4.43
1350,7.489202,282.042632,NA,NA,NA
4315,2.504225,279.10637,05/05/2016 11:24,1.27,3.75
1359,7.479441,280.60877,06/05/2016 23:24,1.149,5.47
4386,2.519841,277.671287,08/05/2016 11:30,1.133,4.76
1353,7.479096,279.177107,NA,NA,NA
1366,7.450491,277.73983,12/05/2016 23:36,1.088,2.52
4281,3.517019,282.496001,15/05/2016 11:10,0.782,3.89
4325,2.50715,281.28823,18/05/2016 11:15,1.307,3.79
1373,6.11256,282.489189,19/05/2016 23:16,1.03,3.43
4364,2.51644,279.856148,21/05/2016 11:21,1.22,4.3
1357,7.4901,281.364245,22/05/2016 23:21,0.99,2.83
4358,2.5124,278.426941,24/05/2016 11:27,1.591,7.34
1360,7.445492,279.924244,25/05/2016 23:27,1.533,1.52
1352,7.462656,278.49851,28/05/2016 23:33,1.049,3.97
4360,6.979524,282.488652,NA,NA,NA
4293,2.531044,282.041623,03/06/2016 11:12,NA,NA
1416,2.716419,282.498707,04/06/2016 23:14,NA,NA
4332,2.506031,280.618027,06/06/2016 11:18,1.519,6.78
1347,7.432942,282.111093,07/06/2016 23:18,NA,NA
4369,2.530104,279.18401,09/06/2016 11:24,1.274,5.57
1364,7.457966,280.688087,10/06/2016 23:24,0.955,3.7
4424,2.54366,277.752936,12/06/2016 11:29,1.218,4.78
1372,7.415578,279.250448,NA,NA,NA
1374,7.458797,277.831753,16/06/2016 23:35,1.749,3.06
4257,3.979946,282.487828,19/06/2016 11:10,1.006,3.2
4295,2.53678,281.377477,22/06/2016 11:15,1.283,4.37
1379,5.690074,282.490919,23/06/2016 23:15,1.911,6.22
1366,7.479875,281.460299,26/06/2016 23:21,1.47,3.19
4366,2.558537,278.518369,28/06/2016 11:26,2.055,5.91
1372,7.483755,280.034018,29/06/2016 23:26,1.267,2.93
1365,7.492319,278.608358,02/07/2016 23:32,1.178,3.05
4362,7.096276,282.498843,05/07/2016 11:08,NA,NA
4330,2.530631,281.857173,08/07/2016 11:13,NA,NA
1497,4.013989,282.489736,09/07/2016 23:14,0.787,4.84
4439,2.549475,280.204215,11/07/2016 11:20,1.449,6.78
1491,7.498173,281.611797,12/07/2016 23:20,1.56,2.69
4519,2.50041,278.566438,14/07/2016 11:26,1.671,6.57
1558,7.476513,279.958332,15/07/2016 23:27,NA,NA
1357,7.473663,278.308842,18/07/2016 23:33,NA,NA
4308,5.273639,282.492808,21/07/2016 11:09,1.492,4.3
4309,2.555607,281.443635,24/07/2016 11:15,0.587,2.53
1373,5.89784,282.49949,25/07/2016 23:15,0.734,2.18
4356,2.521888,279.80361,27/07/2016 11:21,1.341,6.56
1360,7.480435,281.202823,28/07/2016 23:21,0.942,2.34
4410,2.54774,278.150357,30/07/2016 11:28,1.783,5.35
1369,7.450002,279.548098,31/07/2016 23:28,NA,NA
1370,7.438859,277.897809,03/08/2016 23:35,1.288,3.02
4231,3.422523,282.498004,06/08/2016 11:10,0.676,3.93
4317,2.545678,281.044344,09/08/2016 11:16,1.203,6.18
1353,7.363824,282.423923,10/08/2016 23:16,NA,NA
4342,2.518807,279.40392,12/08/2016 11:23,1.257,4.56
1365,7.472282,280.801318,13/08/2016 23:23,1.053,2.69
4412,2.500465,277.761468,15/08/2016 11:29,1.661,5.99
1354,7.425754,279.144004,NA,NA,NA
1369,7.47472,277.508329,19/08/2016 23:36,1.553,4.79
4317,2.560067,282.291808,22/08/2016 11:11,NA,NA
4320,2.51757,280.655939,25/08/2016 11:18,1.444,7.56
1349,7.432254,282.044286,NA,NA,NA
4358,2.543401,279.004887,28/08/2016 11:24,1.545,6.21
1367,7.457674,280.40387,29/08/2016 23:25,1.89,8.93
1374,7.471016,278.761033,01/09/2016 23:31,1.771,3.88
4336,7.350021,282.489208,04/09/2016 11:07,NA,NA
4266,2.55829,281.902965,07/09/2016 11:12,NA,NA
1400,3.799378,282.496617,08/09/2016 23:14,0.837,4.7
4348,2.543763,280.262117,10/09/2016 11:19,1.996,7.12
1363,7.440527,281.657162,11/09/2016 23:19,2.276,6.42
4381,2.541394,278.618457,13/09/2016 11:26,1.448,6.2
1371,7.490645,280.023451,14/09/2016 23:26,1.507,3.1
1374,7.450791,278.370306,17/09/2016 23:33,0.401,3.68
4335,5.59458,282.494643,20/09/2016 11:08,0.978,1.77
4299,2.527796,281.527442,23/09/2016 11:14,NA,NA
1379,5.529722,282.495165,24/09/2016 23:15,NA,NA
4368,2.536619,279.882306,26/09/2016 11:20,1.647,4.81
1363,7.446383,281.276091,27/09/2016 23:21,1.196,2.35
4401,2.515576,278.243795,29/09/2016 11:27,2.094,5.3
1366,7.456146,279.634886,NA,NA,NA
1371,7.443108,277.989257,03/10/2016 23:34,1.659,6.27
4230,3.911301,282.488532,06/10/2016 11:09,1.011,4.69
4292,2.522126,281.152182,09/10/2016 11:15,1.039,5.54
1347,7.244787,282.498434,10/10/2016 23:16,NA,NA
4322,2.547046,279.504603,12/10/2016 11:22,1.972,6.44
1364,7.440172,280.899425,13/10/2016 23:22,2.247,2.11
4351,2.517851,277.869209,15/10/2016 11:28,1.882,6.9
1355,7.338372,279.235182,NA,NA,NA
1369,7.491702,277.628367,19/10/2016 23:35,1.784,5.02
4218,2.552208,282.416816,22/10/2016 11:10,NA,NA
4277,2.536649,280.77909,25/10/2016 11:17,1.691,8.11
1352,7.302222,282.142112,26/10/2016 23:17,NA,NA
4290,2.543451,279.136636,28/10/2016 11:23,1.494,7.27
1356,7.482039,280.541164,29/10/2016 23:24,1.286,4.21
4354,2.516153,277.502029,31/10/2016 11:30,1.429,6.8
1366,7.467196,278.897522,01/11/2016 23:30,1.323,4.14
4229,2.518645,282.058669,07/11/2016 11:12,NA,NA
1407,3.083682,282.487745,08/11/2016 23:13,NA,NA
4256,2.515587,280.419246,10/11/2016 11:18,1.193,5.72
1360,7.472539,281.817115,11/11/2016 23:19,5.93,2.54
4300,2.521719,278.778179,13/11/2016 11:25,1.37,6.82
1367,7.479106,280.179115,14/11/2016 23:25,1.095,7.99
1363,7.464032,278.536832,17/11/2016 23:32,0.915,3.32
4247,6.380879,282.48658,20/11/2016 11:07,1.199,5.67
4226,2.554515,281.691108,23/11/2016 11:13,NA,NA
1385,4.763874,282.499625,24/11/2016 23:14,1.38,4.41
4239,2.555389,280.05192,26/11/2016 11:19,1.77,7.74
1357,7.478546,281.461353,27/11/2016 23:20,1.876,6.84
4281,2.520979,278.420864,29/11/2016 11:26,1.414,5.38
1366,7.491575,279.825715,NA,NA,NA
1362,7.45232,278.178733,03/12/2016 23:33,NA,NA
4147,4.766323,282.488094,06/12/2016 11:08,1.184,3.25
4258,2.533744,281.341482,09/12/2016 11:14,1.205,4.63
1371,6.340242,282.494644,10/12/2016 23:15,0.744,2.42
4264,2.555823,279.699024,12/12/2016 11:21,1.542,7.29
1354,7.481548,281.11003,13/12/2016 23:21,1.033,4.05
4313,2.540197,278.065297,15/12/2016 11:27,1.061,5.46
1365,7.395594,279.453595,NA,NA,NA
1351,7.499483,277.839054,19/12/2016 23:34,0.797,3.46
4143,3.171276,282.490213,22/12/2016 11:09,NA,NA
4225,2.540182,280.991963,25/12/2016 11:16,1.019,6.06
1340,7.439429,282.389994,NA,NA,NA
4255,2.557847,279.351466,28/12/2016 11:22,1.116,4.53
1351,7.461645,280.758013,29/12/2016 23:22,1.215,6.39
4310,2.531847,277.72076,31/12/2016 11:29,1.308,5.89
1346,7.491559,279.127949,01/01/2017 23:29,NA,NA
4203,2.552626,282.28225,07/01/2017 11:10,NA,NA
4230,2.551486,280.64682,10/01/2017 11:17,1.355,3.56
1344,7.452827,282.049621,NA,NA,NA
4293,2.548038,279.012265,13/01/2017 11:23,1.339,4.42
1343,7.494657,280.423177,14/01/2017 23:24,1.611,9.24
1342,7.445754,278.776389,17/01/2017 23:30,0.826,3.9
