"DATE","LAT","LON","SST"
2016-01-26T02:59:59.000Z,   6.02,  99.98, -32767.00
2016-01-27T02:24:59.000Z,   6.02,  99.98,  29.41
2016-01-28T02:59:59.000Z,   6.02,  99.98, -32767.00
2016-01-29T02:15:00.000Z,   6.02,  99.98, -32767.00
2016-01-30T02:49:59.000Z,   6.02,  99.98,  29.52
2016-01-31T02:10:00.000Z,   6.02,  99.98, -32767.00
2016-02-01T02:40:00.000Z,   6.02,  99.98,  29.73
2016-02-02T02:10:00.000Z,   6.02,  99.98, -32767.00
2016-02-03T02:29:59.000Z,   6.02,  99.98,  29.60
2016-02-04T03:00:00.000Z,   6.02,  99.98,  30.30
2016-02-05T02:19:59.000Z,   6.02,  99.98, -32767.00
2016-02-06T02:54:59.000Z,   6.02,  99.98, -32767.00
2016-02-07T02:09:59.000Z,   6.02,  99.98, -32767.00
2016-02-08T02:44:59.000Z,   6.02,  99.98, -32767.00
2016-02-09T02:14:59.000Z,   6.02,  99.98, -32767.00
2016-02-10T02:34:59.000Z,   6.02,  99.98, -32767.00
2016-02-11T02:59:59.000Z,   6.02,  99.98, -32767.00
2016-02-12T02:25:00.000Z,   6.02,  99.98,  29.14
2016-02-13T02:59:59.000Z,   6.02,  99.98, -32767.00
2016-02-14T02:15:00.000Z,   6.02,  99.98, -32767.00
2016-02-15T02:50:00.000Z,   6.02,  99.98,  30.57
2016-02-16T02:09:59.000Z,   6.02,  99.98,  30.30
2016-02-17T02:40:00.000Z,   6.02,  99.98,  30.90
2016-02-18T02:09:59.000Z,   6.02,  99.98, -32767.00
2016-02-19T02:29:59.000Z,   6.02,  99.98, -32767.00
2016-02-20T02:59:59.000Z,   6.02,  99.98, -32767.00
2016-02-21T02:19:59.000Z,   6.02,  99.98,  29.96
2016-02-22T02:54:59.000Z,   6.02,  99.98,  29.69
2016-02-23T02:09:59.000Z,   6.02,  99.98,  30.16
2016-02-24T02:44:59.000Z,   6.02,  99.98,  30.95
2016-02-25T02:14:59.000Z,   6.02,  99.98, -32767.00
2016-02-26T02:34:59.000Z,   6.02,  99.98,  29.38
2016-02-27T02:59:59.000Z,   6.02,  99.98,  30.39
2016-02-28T02:25:00.000Z,   6.02,  99.98, -32767.00
2016-02-29T02:59:59.000Z,   6.02,  99.98, -32767.00
2016-03-01T02:34:59.000Z,   6.02,  99.98,  30.18
2016-03-02T02:50:00.000Z,   6.02,  99.98,  30.05
2016-03-03T02:25:00.000Z,   6.02,  99.98, -32767.00
2016-03-04T02:39:59.000Z,   6.02,  99.98,  29.98
2016-03-05T02:09:59.000Z,   6.02,  99.98, -32767.00
2016-03-06T02:55:00.000Z,   6.02,  99.98,  30.67
2016-03-07T02:59:59.000Z,   6.02,  99.98,  30.12
2016-03-08T02:45:00.000Z,   6.02,  99.98,  31.48
2016-03-09T02:54:59.000Z,   6.02,  99.98,  31.42
2016-03-10T02:29:59.000Z,   6.02,  99.98,  30.69
2016-03-11T02:44:59.000Z,   6.02,  99.98,  30.88
2016-03-12T02:19:59.000Z,   6.02,  99.98, -32767.00
2016-03-13T02:59:59.000Z,   6.02,  99.98,  29.71
2016-03-14T02:59:59.000Z,   6.02,  99.98, -32767.00
2016-03-15T02:49:59.000Z,   6.02,  99.98,  30.11
2016-03-16T02:59:59.000Z,   6.02,  99.98,  30.46
2016-03-17T02:39:59.000Z,   6.02,  99.98,  31.52
2016-03-18T02:50:00.000Z,   6.02,  99.98,  29.41
2016-03-19T02:25:00.000Z,   6.02,  99.98,  30.54
2016-03-20T02:39:59.000Z,   6.02,  99.98,  31.19
2016-03-21T02:14:59.000Z,   6.02,  99.98, -32767.00
2016-03-22T02:59:59.000Z,   6.02,  99.98, -32767.00
2016-03-23T02:59:59.000Z,   6.02,  99.98, -32767.00
2016-03-24T02:45:00.000Z,   6.02,  99.98, -32767.00
2016-03-25T02:54:59.000Z,   6.02,  99.98,  30.86
2016-03-26T02:34:59.000Z,   6.02,  99.98,  29.28
2016-03-27T02:44:59.000Z,   6.02,  99.98, -32767.00
2016-03-28T02:19:59.000Z,   6.02,  99.98, -32767.00
2016-03-29T02:59:59.000Z,   6.02,  99.98,  30.58
2016-03-30T02:59:59.000Z,   6.02,  99.98, -32767.00
2016-03-31T02:49:59.000Z,   6.02,  99.98,  30.74
2016-04-01T02:59:59.000Z,   6.02,  99.98,  31.51
2016-04-02T02:39:59.000Z,   6.02,  99.98,  31.55
2016-04-03T02:50:00.000Z,   6.02,  99.98, -32767.00
2016-04-04T02:25:00.000Z,   6.02,  99.98,  32.04
2016-04-05T02:40:00.000Z,   6.02,  99.98,  31.05
