date,DOY,WS,WD,FCO2,RN,RH,H2O,H,LE,ZL,SH,SLE,P_RAIN,TA,ET,PPFD,USTAR,RG,TS,H_QC,LE_QC,FCO2_QC,co2_mole_fraction,air_pressure,FCO2_mmol,PP_air_30,EMA,PCO2_sw,LAT,LON,CHL,SST,POC,PIC,PAR
01/01/2016,200.3819655,0.673907846,211.7547121,0.002906247,65.62220732,77.78531809,31.20738347,1.396401586,8.104966166,-1.545557463,-0.126891965,-0.04807962,NA,28.74646624,0.010785405,NA,0.042760829,297.8513994,30.74374936,1.059387215,1.096841556,1.204390613,389.3999285,100697.7086,0.251099765,387.0516417,30.65832634,387.2448326,6.02,99.98,0.851509434,30.9171,172.0490566,0.000153809,45.83147082
01/01/2017,215.2488086,0.516015647,194.8000979,-0.00419803,27.41655612,89.31621436,32.4325295,1.529669315,6.855312109,-1.869862518,-0.026506739,-0.066924548,NA,27.73237104,0.008635354,NA,0.040884776,200.3879993,30.10129263,1.054384672,1.120193033,1.237996784,394.7050905,100589.3977,-0.36270976,392.0263523,30.16758789,384.9650582,6.02,99.98,1.033061224,30.85166667,185.0583333,0.000136425,44.65467407
01/01/2018,183.4374735,0.448031025,192.3145778,0.00033077,22.44713048,85.66791402,24.44416209,1.528758226,6.344760421,-1.873122262,-0.001374661,0.031196575,0.416291555,27.63327857,0.008042004,NA,0.040495322,177.7782292,29.86107416,1.051473137,1.115747611,1.246971899,399.2515412,100552.1192,0.028578528,396.4476734,29.91297418,394.4377707,6.02,99.98,1.257446809,30.64802198,276.7361702,0.00011556,46.94855396
01/01/2019,183.5233058,0.517192748,190.9767934,-0.011621091,19.6082889,87.71232362,29.67099732,1.412582781,6.806116117,-1.604264435,-0.001407609,0.078196501,0.000133754,28.51788593,0.008835508,367.718333,0.041893031,181.2854502,29.14360712,1.061295872,1.11161982,1.228815571,398.5529543,100545.5987,-1.004062278,395.7440497,29.19326876,385.4681542,6.02,99.98,1.791451613,30.52232394,431.8387097,7.37E-05,45.68476276
01/01/2020,159.5090523,0.499471558,193.0453625,-0.010796682,22.23701514,80.31307138,32.00568374,1.31842604,6.35931109,-1.768936905,-0.001555949,0.067987427,0.000138547,28.06291964,0.008315925,346.2312911,0.040695229,172.3785278,28.954608,1.06149293,1.103912636,1.23314434,399.4311798,100456.2075,-0.932833303,396.3256376,28.95599236,386.3022832,6.02,99.98,4.394626866,30.4497541,650.7848485,0.000392557,47.17583923
