"DATE","LAT","LON","PAR"
2016-02-05T02:19:59.000Z,   6.02,  99.98, 34.24400
2016-02-06T02:54:59.000Z,   6.02,  99.98, 14.78200
2016-02-07T02:09:59.000Z,   6.02,  99.98, 38.72400
2016-02-08T02:44:59.000Z,   6.02,  99.98, 47.00600
2016-02-09T02:14:59.000Z,   6.02,  99.98, -32767.00000
2016-02-10T02:34:59.000Z,   6.02,  99.98, 37.39000
2016-02-11T02:59:59.000Z,   6.02,  99.98, 50.04800
2016-02-12T02:25:00.000Z,   6.02,  99.98, 49.90000
2016-02-13T02:59:59.000Z,   6.02,  99.98, 53.25000
2016-02-14T02:14:58.000Z,   6.02,  99.98, 53.56800
2016-02-15T02:50:00.000Z,   6.02,  99.98, 54.12600
2016-02-16T02:09:59.000Z,   6.02,  99.98, 54.36200
2016-02-17T02:39:58.000Z,   6.02,  99.98, 54.42400
2016-02-18T02:09:59.000Z,   6.02,  99.98, -32767.00000
2016-02-19T02:29:59.000Z,   6.02,  99.98, -32767.00000
2016-02-20T02:59:59.000Z,   6.02,  99.98, 44.53400
2016-02-21T02:19:59.000Z,   6.02,  99.98, 54.68600
2016-02-22T02:54:59.000Z,   6.02,  99.98, 55.27200
2016-02-23T02:09:59.000Z,   6.02,  99.98, 55.57000
2016-02-24T02:44:59.000Z,   6.02,  99.98, 55.27000
2016-02-25T02:14:59.000Z,   6.02,  99.98, -32767.00000
2016-02-26T02:34:59.000Z,   6.02,  99.98, -32767.00000
2016-02-27T02:59:59.000Z,   6.02,  99.98, 55.81400
2016-02-28T02:25:00.000Z,   6.02,  99.98, -32767.00000
2016-02-29T02:59:59.000Z,   6.02,  99.98, 55.43800
2016-03-01T02:34:59.000Z,   6.02,  99.98, 56.13600
2016-03-02T02:50:00.000Z,   6.02,  99.98, 56.12200
2016-03-03T02:25:00.000Z,   6.02,  99.98, 54.27600
2016-03-04T02:39:59.000Z,   6.02,  99.98, 56.45800
2016-03-05T02:09:59.000Z,   6.02,  99.98, -32767.00000
2016-03-06T02:55:00.000Z,   6.02,  99.98, -32767.00000
2016-03-07T02:59:59.000Z,   6.02,  99.98, 55.76000
2016-03-08T02:45:00.000Z,   6.02,  99.98, 56.74400
2016-03-09T02:54:59.000Z,   6.02,  99.98, 56.79000
2016-03-10T02:29:59.000Z,   6.02,  99.98, 56.70400
2016-03-11T02:44:59.000Z,   6.02,  99.98, 56.93200
2016-03-12T02:19:59.000Z,   6.02,  99.98, -32767.00000
2016-03-13T02:59:59.000Z,   6.02,  99.98, -32767.00000
2016-03-14T02:59:59.000Z,   6.02,  99.98, 56.81200
2016-03-15T02:49:59.000Z,   6.02,  99.98, -32767.00000
2016-03-16T02:59:59.000Z,   6.02,  99.98, 57.41400
2016-03-17T02:39:59.000Z,   6.02,  99.98, 56.18000
2016-03-18T02:50:00.000Z,   6.02,  99.98, 57.52000
2016-03-19T02:25:00.000Z,   6.02,  99.98, 57.12200
2016-03-20T02:39:59.000Z,   6.02,  99.98, 57.53000
2016-03-21T02:14:59.000Z,   6.02,  99.98, -32767.00000
2016-03-22T02:59:59.000Z,   6.02,  99.98, -32767.00000
2016-03-23T02:59:59.000Z,   6.02,  99.98, 50.33800
2016-03-24T02:45:00.000Z,   6.02,  99.98, -32767.00000
2016-03-25T02:54:59.000Z,   6.02,  99.98, 57.64400
2016-03-26T02:34:59.000Z,   6.02,  99.98, 56.07800
2016-03-27T02:44:59.000Z,   6.02,  99.98, 57.00400
2016-03-28T02:19:59.000Z,   6.02,  99.98, -32767.00000
2016-03-29T02:59:59.000Z,   6.02,  99.98, -32767.00000
2016-03-30T02:59:59.000Z,   6.02,  99.98, 57.25600
2016-03-31T02:49:59.000Z,   6.02,  99.98, -32767.00000
2016-04-01T02:59:59.000Z,   6.02,  99.98, 57.90000
2016-04-02T02:39:59.000Z,   6.02,  99.98, 56.56400
2016-04-03T02:50:00.000Z,   6.02,  99.98, 55.45600
2016-04-04T02:25:00.000Z,   6.02,  99.98, 56.00000
2016-04-05T02:40:00.000Z,   6.02,  99.98, 57.54400
2016-04-06T02:15:00.000Z,   6.02,  99.98, -32767.00000
2016-04-07T02:59:59.000Z,   6.02,  99.98, -32767.00000
2016-04-08T02:59:59.000Z,   6.02,  99.98, 46.96800
2016-04-09T02:45:00.000Z,   6.02,  99.98, -32767.00000
2016-04-10T02:54:59.000Z,   6.02,  99.98, 57.57800
2016-04-11T02:34:59.000Z,   6.02,  99.98, 56.42600
2016-04-12T02:44:59.000Z,   6.02,  99.98, 56.17000
2016-04-13T02:19:59.000Z,   6.02,  99.98, -32767.00000
2016-04-14T02:34:59.000Z,   6.02,  99.98, -32767.00000
2016-04-15T02:59:59.000Z,   6.02,  99.98, 57.47400
2016-04-16T02:49:59.000Z,   6.02,  99.98, -32767.00000
2016-04-17T02:59:59.000Z,   6.02,  99.98, 57.19200
2016-04-18T02:39:59.000Z,   6.02,  99.98, 49.60200
2016-04-19T02:50:00.000Z,   6.02,  99.98, 57.14400
2016-04-20T02:25:00.000Z,   6.02,  99.98, 52.83800
