"DATE","LAT","LON","PIC"
2016-01-21T02:55:00.000Z,   6.02,  99.98, 0.00001400
2016-01-22T02:09:59.000Z,   6.02,  99.98, 0.00002199
2016-01-23T02:44:59.000Z,   6.02,  99.98, 0.00001600
2016-01-24T02:04:59.000Z,   6.02,  99.98, -32767.00000000
2016-01-25T02:34:59.000Z,   6.02,  99.98, -32767.00000000
2016-01-26T02:59:59.000Z,   6.02,  99.98, -32767.00000000
2016-01-27T02:24:59.000Z,   6.02,  99.98, -32767.00000000
2016-01-28T02:59:59.000Z,   6.02,  99.98, -32767.00000000
2016-01-29T02:15:00.000Z,   6.02,  99.98, -32767.00000000
2016-01-30T02:49:59.000Z,   6.02,  99.98, -32767.00000000
2016-01-31T02:10:00.000Z,   6.02,  99.98, -32767.00000000
2016-02-01T02:40:00.000Z,   6.02,  99.98, 0.00054200
2016-02-02T02:10:00.000Z,   6.02,  99.98, -32767.00000000
2016-02-03T02:29:59.000Z,   6.02,  99.98, -32767.00000000
2016-02-04T02:59:58.000Z,   6.02,  99.98, -32767.00000000
2016-02-05T02:19:59.000Z,   6.02,  99.98, -32767.00000000
2016-02-06T02:54:59.000Z,   6.02,  99.98, -32767.00000000
2016-02-07T02:09:59.000Z,   6.02,  99.98, -32767.00000000
2016-02-08T02:44:59.000Z,   6.02,  99.98, -32767.00000000
2016-02-09T02:14:59.000Z,   6.02,  99.98, -32767.00000000
2016-02-10T02:34:59.000Z,   6.02,  99.98, -32767.00000000
2016-02-11T02:59:59.000Z,   6.02,  99.98, -32767.00000000
2016-02-12T02:25:00.000Z,   6.02,  99.98, -32767.00000000
2016-02-13T02:59:59.000Z,   6.02,  99.98, -32767.00000000
2016-02-14T02:14:58.000Z,   6.02,  99.98, -32767.00000000
2016-02-15T02:50:00.000Z,   6.02,  99.98, 0.00002199
2016-02-16T02:09:59.000Z,   6.02,  99.98, -32767.00000000
2016-02-17T02:39:58.000Z,   6.02,  99.98, 0.00002600
2016-02-18T02:09:59.000Z,   6.02,  99.98, -32767.00000000
2016-02-19T02:29:59.000Z,   6.02,  99.98, -32767.00000000
2016-02-20T02:59:59.000Z,   6.02,  99.98, -32767.00000000
2016-02-21T02:19:59.000Z,   6.02,  99.98, -32767.00000000
2016-02-22T02:54:59.000Z,   6.02,  99.98, 0.00002000
2016-02-23T02:09:59.000Z,   6.02,  99.98, 0.00001400
2016-02-24T02:44:59.000Z,   6.02,  99.98, -32767.00000000
2016-02-25T02:14:59.000Z,   6.02,  99.98, -32767.00000000
2016-02-26T02:34:59.000Z,   6.02,  99.98, -32767.00000000
2016-02-27T02:59:59.000Z,   6.02,  99.98, -32767.00000000
2016-02-28T02:25:00.000Z,   6.02,  99.98, -32767.00000000
2016-02-29T02:59:59.000Z,   6.02,  99.98, -32767.00000000
2016-03-01T02:34:59.000Z,   6.02,  99.98, 0.00017799
2016-03-02T02:50:00.000Z,   6.02,  99.98, 0.00009000
2016-03-03T02:25:00.000Z,   6.02,  99.98, -32767.00000000
2016-03-04T02:39:59.000Z,   6.02,  99.98, 0.00016399
2016-03-05T02:09:59.000Z,   6.02,  99.98, -32767.00000000
2016-03-06T02:55:00.000Z,   6.02,  99.98, -32767.00000000
2016-03-07T02:59:59.000Z,   6.02,  99.98, -32767.00000000
2016-03-08T02:45:00.000Z,   6.02,  99.98, 0.00001200
2016-03-09T02:54:59.000Z,   6.02,  99.98, 0.00001600
2016-03-10T02:29:59.000Z,   6.02,  99.98, 0.00001600
2016-03-11T02:44:59.000Z,   6.02,  99.98, 0.00001800
2016-03-12T02:19:59.000Z,   6.02,  99.98, -32767.00000000
2016-03-13T02:59:59.000Z,   6.02,  99.98, -32767.00000000
2016-03-14T02:59:59.000Z,   6.02,  99.98, -32767.00000000
2016-03-15T02:49:59.000Z,   6.02,  99.98, -32767.00000000
2016-03-16T02:59:59.000Z,   6.02,  99.98, 0.00036599
2016-03-17T02:39:59.000Z,   6.02,  99.98, 0.00094200
2016-03-18T02:50:00.000Z,   6.02,  99.98, 0.00008000
2016-03-19T02:25:00.000Z,   6.02,  99.98, -32767.00000000
2016-03-20T02:39:59.000Z,   6.02,  99.98, 0.00001600
2016-03-21T02:14:59.000Z,   6.02,  99.98, -32767.00000000
2016-03-22T02:59:59.000Z,   6.02,  99.98, -32767.00000000
2016-03-23T02:59:59.000Z,   6.02,  99.98, -32767.00000000
2016-03-24T02:45:00.000Z,   6.02,  99.98, -32767.00000000
2016-03-25T02:54:59.000Z,   6.02,  99.98, 0.00002400
2016-03-26T02:34:59.000Z,   6.02,  99.98, -32767.00000000
2016-03-27T02:44:59.000Z,   6.02,  99.98, -32767.00000000
2016-03-28T02:19:59.000Z,   6.02,  99.98, -32767.00000000
2016-03-29T02:59:59.000Z,   6.02,  99.98, -32767.00000000
2016-03-30T02:59:59.000Z,   6.02,  99.98, -32767.00000000
2016-03-31T02:49:59.000Z,   6.02,  99.98, -32767.00000000
2016-04-01T02:59:59.000Z,   6.02,  99.98, -32767.00000000
2016-04-02T02:39:59.000Z,   6.02,  99.98, -32767.00000000
2016-04-03T02:50:00.000Z,   6.02,  99.98, -32767.00000000
2016-04-04T02:25:00.000Z,   6.02,  99.98, -32767.00000000
2016-04-05T02:40:00.000Z,   6.02,  99.98, 0.00003600
2016-04-06T02:15:00.000Z,   6.02,  99.98, -32767.00000000
2016-04-07T02:59:59.000Z,   6.02,  99.98, -32767.00000000
2016-04-08T02:59:59.000Z,   6.02,  99.98, -32767.00000000
2016-04-09T02:45:00.000Z,   6.02,  99.98, -32767.00000000
2016-04-10T02:54:59.000Z,   6.02,  99.98, -32767.00000000
2016-04-11T02:34:59.000Z,   6.02,  99.98, -32767.00000000
2016-04-12T02:44:59.000Z,   6.02,  99.98, -32767.00000000
2016-04-13T02:19:59.000Z,   6.02,  99.98, -32767.00000000
2016-04-14T02:34:59.000Z,   6.02,  99.98, -32767.00000000
2016-04-15T02:59:59.000Z,   6.02,  99.98, -32767.00000000
2016-04-16T02:49:59.000Z,   6.02,  99.98, -32767.00000000
2016-04-17T02:59:59.000Z,   6.02,  99.98, 0.00016800
2016-04-18T02:39:59.000Z,   6.02,  99.98, -32767.00000000
2016-04-19T02:50:00.000Z,   6.02,  99.98, -32767.00000000
2016-04-20T02:25:00.000Z,   6.02,  99.98, -32767.00000000
2016-04-21T02:40:00.000Z,   6.02,  99.98, 0.00005000
2016-04-22T02:15:00.000Z,   6.02,  99.98, -32767.00000000
2016-04-23T02:59:59.000Z,   6.02,  99.98, -32767.00000000
2016-04-24T02:59:59.000Z,   6.02,  99.98, -32767.00000000
2016-04-25T02:45:00.000Z,   6.02,  99.98, -32767.00000000
2016-04-26T02:54:59.000Z,   6.02,  99.98, -32767.00000000
2016-04-27T02:34:59.000Z,   6.02,  99.98, -32767.00000000
2016-04-28T02:44:59.000Z,   6.02,  99.98, 0.00006000
2016-04-29T02:19:59.000Z,   6.02,  99.98, -32767.00000000
2016-04-30T02:59:59.000Z,   6.02,  99.98, -32767.00000000
2016-05-01T02:09:59.000Z,   6.02,  99.98, -32767.00000000
2016-05-02T02:49:59.000Z,   6.02,  99.98, -32767.00000000
2016-05-03T02:59:59.000Z,   6.02,  99.98, -32767.00000000
2016-05-04T02:39:59.000Z,   6.02,  99.98, -32767.00000000
2016-05-05T02:50:00.000Z,   6.02,  99.98, -32767.00000000
2016-05-06T02:25:00.000Z,   6.02,  99.98, -32767.00000000
2016-05-07T02:40:00.000Z,   6.02,  99.98, -32767.00000000
2016-05-08T02:15:00.000Z,   6.02,  99.98, -32767.00000000
2016-05-09T02:59:59.000Z,   6.02,  99.98, -32767.00000000
2016-05-10T02:59:59.000Z,   6.02,  99.98, -32767.00000000
2016-05-11T02:45:00.000Z,   6.02,  99.98, 0.00001200
2016-05-12T02:54:59.000Z,   6.02,  99.98, -32767.00000000
2016-05-13T02:34:59.000Z,   6.02,  99.98, -32767.00000000
2016-05-14T02:44:59.000Z,   6.02,  99.98, -32767.00000000
2016-05-15T02:19:59.000Z,   6.02,  99.98, -32767.00000000
2016-05-16T02:59:59.000Z,   6.02,  99.98, -32767.00000000
2016-05-17T02:09:59.000Z,   6.02,  99.98, -32767.00000000
2016-05-18T02:49:59.000Z,   6.02,  99.98, -32767.00000000
2016-05-19T02:59:59.000Z,   6.02,  99.98, 0.00003200
2016-05-20T02:39:59.000Z,   6.02,  99.98, -32767.00000000
2016-05-21T02:50:00.000Z,   6.02,  99.98, -32767.00000000
2016-05-22T02:25:00.000Z,   6.02,  99.98, -32767.00000000
2016-05-23T02:40:00.000Z,   6.02,  99.98, -32767.00000000
2016-05-24T02:15:00.000Z,   6.02,  99.98, -32767.00000000
2016-05-25T02:54:59.000Z,   6.02,  99.98, -32767.00000000
2016-05-26T02:59:59.000Z,   6.02,  99.98, -32767.00000000
2016-05-27T02:45:00.000Z,   6.02,  99.98, -32767.00000000
2016-05-28T02:54:59.000Z,   6.02,  99.98, -32767.00000000
2016-05-29T02:29:59.000Z,   6.02,  99.98, -32767.00000000
2016-05-30T02:44:59.000Z,   6.02,  99.98, -32767.00000000
2016-05-31T02:19:59.000Z,   6.02,  99.98, -32767.00000000
2016-06-01T02:59:59.000Z,   6.02,  99.98, 0.00013199
2016-06-02T02:09:59.000Z,   6.02,  99.98, -32767.00000000
2016-06-03T02:49:59.000Z,   6.02,  99.98, -32767.00000000
2016-06-04T02:59:59.000Z,   6.02,  99.98, -32767.00000000
2016-06-05T02:39:59.000Z,   6.02,  99.98, 0.00002600
2016-06-06T02:50:00.000Z,   6.02,  99.98, 0.00001200
2016-06-07T02:25:00.000Z,   6.02,  99.98, -32767.00000000
2016-06-08T02:40:00.000Z,   6.02,  99.98, -32767.00000000
2016-06-09T02:15:00.000Z,   6.02,  99.98, -32767.00000000
2016-06-10T02:54:59.000Z,   6.02,  99.98, -32767.00000000
2016-06-11T02:59:59.000Z,   6.02,  99.98, -32767.00000000
2016-06-12T02:45:00.000Z,   6.02,  99.98, -32767.00000000
2016-06-13T02:54:59.000Z,   6.02,  99.98, -32767.00000000
2016-06-14T02:29:59.000Z,   6.02,  99.98, -32767.00000000
2016-06-15T02:44:59.000Z,   6.02,  99.98, -32767.00000000
2016-06-16T02:19:59.000Z,   6.02,  99.98, -32767.00000000
2016-06-17T02:59:59.000Z,   6.02,  99.98, -32767.00000000
2016-06-18T02:09:59.000Z,   6.02,  99.98, -32767.00000000
2016-06-19T02:49:59.000Z,   6.02,  99.98, -32767.00000000
2016-06-20T02:59:59.000Z,   6.02,  99.98, -32767.00000000
2016-06-21T02:39:59.000Z,   6.02,  99.98, -32767.00000000
2016-06-22T02:50:00.000Z,   6.02,  99.98, -32767.00000000
2016-06-23T02:25:00.000Z,   6.02,  99.98, -32767.00000000
2016-06-24T02:40:00.000Z,   6.02,  99.98, 0.00010400
2016-06-25T02:15:00.000Z,   6.02,  99.98, -32767.00000000
2016-06-26T02:54:59.000Z,   6.02,  99.98, -32767.00000000
2016-06-27T02:59:58.000Z,   6.02,  99.98, -32767.00000000
2016-06-28T02:45:00.000Z,   6.02,  99.98, -32767.00000000
2016-06-29T02:54:59.000Z,   6.02,  99.98, -32767.00000000
2016-06-30T02:29:59.000Z,   6.02,  99.98, -32767.00000000
2016-07-01T02:44:59.000Z,   6.02,  99.98, -32767.00000000
2016-07-02T02:19:59.000Z,   6.02,  99.98, -32767.00000000
2016-07-03T02:59:58.000Z,   6.02,  99.98, -32767.00000000
2016-07-04T02:04:59.000Z,   6.02,  99.98, -32767.00000000
2016-07-05T02:49:59.000Z,   6.02,  99.98, -32767.00000000
2016-07-06T02:59:59.000Z,   6.02,  99.98, -32767.00000000
2016-07-07T02:39:59.000Z,   6.02,  99.98, -32767.00000000
2016-07-08T02:49:59.000Z,   6.02,  99.98, -32767.00000000
2016-07-09T02:24:59.000Z,   6.02,  99.98, -32767.00000000
2016-07-10T02:40:00.000Z,   6.02,  99.98, -32767.00000000
